city,lat,lng,population,density
Hayward,37.6328,-122.0766,158817,1338
Alexandria,38.8185,-77.0861,158309,4092
Bayamón,18.3794,-66.1635,157517,2250
Port Arthur,29.8554,-93.9264,156988,273
Lakewood,39.6977,-105.1172,155733,1383
Fredericksburg,38.2992,-77.4872,155414,1073
Leesburg,28.7672,-81.8962,154301,232
Hollywood,26.0293,-80.1679,153834,2177
Palmdale,34.5944,-118.1057,153240,557
Macon,32.8065,-83.6974,153026,236
Kansas City,39.1235,-94.7443,153014,473
Champaign,40.1142,-88.2737,152940,1486
Sunnyvale,37.3836,-122.0255,152569,2670
Pasadena,29.6575,-95.1498,152537,1348
Pomona,34.0585,-117.7626,151124,2538
Escondido,33.1348,-117.0723,150396,1554
Mauldin,34.7821,-82.3032,149687,842
New Bedford,41.6697,-70.9428,149570,1840
Panama City,30.1995,-85.6003,149366,395
Tuscaloosa,33.2348,-87.5268,149302,627
Warner Robins,32.5961,-83.6527,148171,786
Naperville,41.748,-88.1659,147734,1459
Merced,37.3057,-120.4779,147690,1396
Elkhart,41.6916,-85.9627,147679,739
Joliet,41.5188,-88.1499,147323,881
Binghamton,42.1014,-75.9093,146870,1651
Houma,29.58,-90.7059,146665,882
Bellevue,47.5951,-122.1535,146145,1686
Topeka,39.0346,-95.6955,145717,790
Paterson,40.9147,-74.1624,145484,6676
Lake Charles,30.201,-93.2111,145029,658
Torrance,33.8346,-118.3416,144430,2717
Thornton,39.9197,-104.9438,144186,1549
Tyler,32.3184,-95.3062,143616,711
Athens,33.9508,-83.3689,143081,414
Beaumont,30.0849,-94.1451,142759,549
Pueblo,38.2701,-104.6114,142726,779
Odessa,31.8801,-102.3448,142581,926
Mesquite,32.7602,-96.5865,142429,1134
Fairfield,38.2583,-122.0335,142042,1081
Pasadena,34.1597,-118.139,142017,2388
Charleston,38.3484,-81.6322,141640,579
Fullerton,33.8841,-117.9279,141061,2429
Miramar,25.9773,-80.3351,140479,1879
Midland,32.0243,-102.1147,140111,722
Gainesville,34.2902,-83.8294,139507,479
Orange,33.8038,-117.8218,139322,2095
Olathe,38.8833,-94.82,139216,868
Santa Maria,34.9333,-120.4431,139072,1786
Surprise,33.6815,-112.4515,139007,486
Roseville,38.7703,-121.3196,138860,1216
Metairie,29.9977,-90.178,138511,2299
Yuma,32.5995,-114.5491,137612,311
Carrollton,32.989,-96.8999,137319,1446
Burlington,36.076,-79.4685,137096,699
West Valley City,40.6886,-112.0123,135610,1461
Hampton,37.0551,-76.363,135169,1014
Racine,42.7274,-87.8135,134679,1918
Greeley,40.4152,-104.7706,134417,847
Harlingen,26.1916,-97.6977,134306,625
Carolina,18.4054,-65.9792,134207,2502
Warren,42.4934,-83.027,134188,1507
Grand Junction,39.0877,-108.5673,134074,606
Coral Springs,26.2702,-80.2591,133370,2252
Columbia,38.9472,-92.3268,132806,711
Bloomington,40.4757,-88.9703,132710,1106
Sterling Heights,42.5809,-83.0305,132296,1401
Stamford,41.1039,-73.5585,130057,1334
Kent,47.3887,-122.2128,130038,1487
Bellingham,48.7548,-122.469,129653,1246
Las Cruces,32.3265,-106.7893,129538,516
Greenville,35.5943,-77.376,129374,979
Round Rock,30.527,-97.6642,128812,1321
Elizabeth,40.6658,-74.1913,128484,4027
South Lyon,42.4614,-83.6526,128071,1219
Simi Valley,34.2663,-118.749,126782,1168
Santa Clara,37.3646,-121.968,126723,2677
Yakima,46.5923,-120.5496,126487,1302
Johnson City,36.3406,-82.3806,126265,596
Dover,39.161,-75.5202,125931,617
Pearland,29.5581,-95.3218,125817,998
Lynchburg,37.4003,-79.1909,125710,638
Fort Smith,35.3495,-94.3695,125306,529
Yuba City,39.1357,-121.6383,124815,1718
Lehigh Acres,26.612,-81.6388,124523,518
Kenosha,42.5865,-87.8773,123865,1359
Arecibo,18.4491,-66.7387,123499,970
Berkeley,37.8722,-122.276,123065,4554
Boulder,40.0248,-105.2524,122549,1595
Texas City,29.4154,-94.9682,122017,288
Iowa City,41.6559,-91.5303,120928,1144
Waldorf,38.6085,-76.9194,120707,827
East Los Angeles,34.0326,-118.1691,120504,6242
Redding,40.5698,-122.365,120370,595
Arvada,39.832,-105.151,120229,1193
The Villages,28.9034,-81.9887,119296,963
Saginaw,43.4199,-83.9501,118845,1093
Ponce,18.0127,-66.6212,118641,1497
Richardson,32.9716,-96.7093,118583,1602
Sugar Land,29.5935,-95.6358,118563,1131
Leominster,42.5209,-71.7717,118190,557
St. Cloud,45.534,-94.1718,118139,660
Duluth,46.7756,-92.1393,117934,462
Cambridge,42.3759,-71.1185,117822,7115
Monroe,32.5185,-92.0774,117197,623
Independence,39.0871,-94.3501,117139,579
Rochester,44.0154,-92.478,116962,814
Rock Hill,34.9415,-81.0241,116746,736
Bloomington,39.1637,-86.5257,116615,1407
Billings,45.7891,-108.5526,116593,945
Seaside,36.6224,-121.8199,116189,1473
Clearwater,27.979,-82.7623,115975,1716
Brandon,27.9367,-82.3,115909,1350
Burlington,44.4876,-73.2316,115682,1596
Pottstown,40.2508,-75.6445,115413,1801
Waterloo,42.4918,-92.3522,115266,424
West Jordan,40.6024,-112.0008,115181,1375
Coeur d'Alene,47.704,-116.7936,114880,1234
Westminster,39.8837,-105.0624,114832,1403
St. George,37.0758,-113.5752,114612,429
Gilroy,37.0046,-121.5854,114461,1289
Carlsbad,33.1246,-117.2834,114411,1169
El Monte,34.0739,-118.0291,113917,4602
North Charleston,32.9067,-80.0722,113880,566
Chico,39.7578,-121.8161,113201,1116
Temecula,33.4928,-117.1315,113117,1171
Costa Mesa,33.6667,-117.9135,112958,2759
Utica,43.0962,-75.2261,112948,1384
Clovis,36.8278,-119.683,112663,1711
